[2025-12-03 00:15:35.832] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:35.833] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:37.519] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:37.519] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:39.206] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:39.207] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:40.893] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:40.893] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:42.580] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:42.581] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:44.269] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:44.269] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:45.955] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:45.956] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:47.643] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:47.644] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:49.330] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:49.331] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:51.017] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:51.017] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:52.703] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:52.704] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:54.391] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:54.392] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:56.078] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:56.078] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:57.766] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:57.766] [WARNING] No valid height measurement obtained
[2025-12-03 00:15:59.455] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:15:59.455] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:01.142] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:01.142] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:02.828] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:02.829] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:04.510] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:04.510] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:06.192] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:06.192] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:07.874] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:07.874] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:09.560] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:09.560] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:11.247] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:11.248] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:12.934] [DEBUG] Raw samples: [], valid_samples: 0
[2025-12-03 00:16:12.934] [WARNING] No valid height measurement obtained
[2025-12-03 00:16:14.109] [INFO] Measurement stopped by user (KeyboardInterrupt)
[2025-12-03 00:16:15.073] [INFO] Program ended
